subfamily,species,sex,mass (g),spiracle,area (mm^2),depth (mm)
Cetoniinae,Goliathus goliathus,M,16.28,6,0.274408136,2.512647627
Cetoniinae,Goliathus goliathus,F,18.15,6,0.134948699,1.606188891
Cetoniinae,Coelorrhina hornimani,M,1.13,6,0.212131304,0.553833
Cetoniinae,Dicronorrhina derbyana,M,2.12,6,0.03953171,0.473369
Cetoniinae,Dicronorrhina derbyana,F,2.145,6,0.049700941,0.49632
Cetoniinae,Mecynorrhina torquata,M,6.951,6,0.106133053,0.643077473
Cetoniinae,Eudicella euthalia,M,2.695,6,0.121828724,0.658811148
Cetoniinae,Eudicella euthalia,F,1.672,6,0.039066099,0.574580823
Cetoniinae,Protaetia orientalis,F,0.935,6,0.036260141,0.385671155
Cetoniinae,Protaetia orientalis,M,1.815,6,0.041155694,0.372194124
Rutelinae,Popilia japonica,F,0.1549,6,0.00729804,0.17447892
Rutelinae,Popilia japonica,M,0.1075,6,0.004528825,0.1549206
Dynastinae,Trypoxylus dichotomus,M,6.4149,6,0.027499454,0.8456429
Dynastinae,Dynastes hercules,F,21.7,6,0.107177465,1.59748526
Dynastinae,Dynastes hercules,M,31,6,0.135449219,2.152294521
Dynastinae,Cyclocephala borealis,M,0.0969,6,0.003063344,0.2777264
Dynastinae,Cyclocephala borealis,F,0.1185,6,0.003351712,0.28324823
Cetoniinae,Goliathus goliathus,M,16.28,5,0.301034195,1.564179488
Cetoniinae,Goliathus goliathus,F,18.15,5,0.12966602,1.453351307
Cetoniinae,Coelorrhina hornimani,M,1.13,5,0.119145418,0.506751
Cetoniinae,Dicronorrhina derbyana,M,2.12,5,0.029179364,0.496184
Cetoniinae,Dicronorrhina derbyana,F,2.145,5,0.044234791,0.55632
Cetoniinae,Mecynorrhina torquata,M,6.951,5,0.066336462,1.006761549
Cetoniinae,Eudicella euthalia,M,2.695,5,0.085185106,0.552236765
Cetoniinae,Eudicella euthalia,F,1.672,5,0.02500661,0.507413232
Cetoniinae,Protaetia orientalis,F,0.935,5,0.030790705,0.302750194
Cetoniinae,Protaetia orientalis,M,1.815,5,0.04291763,0.331357778
Rutelinae,Popilia japonica,F,0.1549,5,0.005036475,0.1476979
Rutelinae,Popilia japonica,M,0.1075,5,0.001134794,0.1387683
Dynastinae,Trypoxylus dichotomus,M,6.4149,5,0.054371524,1.09003286
