species,mass,a6,a5,a4,a3,a2,a1,meta,meso,all
Goliathus_goliathus,1.235907027,-0.808934441,-0.785702777,-0.450378511,-0.613402913,0.264158481,0.882965576,0.782276073,1.595018456,1.746681006
Coelorrhina_hornimani,0.053078443,-0.36414107,-0.87835092,-0.950379187,-1.016420357,-1.31974089,-0.888346302,-1.301184983,0.32132223,0.490794089
Dicronorrhina_derbyana,0.32888904,-1.677280976,-1.812926401,-1.766627472,-1.459761955,-1.275745027,-1.2786065,-1.227667287,0.39937826,0.441122586
Mecynorrhina_torquata,0.837272703,-1.178141725,-1.706464293,-2.037572427,-0.875452193,-0.605003962,0.430480225,-0.484875348,1.369592897,1.430058556
Eudicella_euthalia,0.339153196,-1.421369034,-1.65225397,-1.842846951,-1.361577653,-0.53345971,-1.176037174,-1.325694506,0.541819672,0.602780829
Protaetia_orientalis,0.138302698,-1.446080078,-1.561610983,-1.609794028,-1.200929747,-1.284508688,-0.816584629,-1.234983346,0.386927449,0.454977244
Popilia_japonica,-0.882066165,-3.047311763,-3.68681784,-3.758643769,-3.226807503,-3.652401531,-2.947861119,-2.613759904,-1.250654196,-1.208989003
Trypoxylus_dichotomus,0.806179974,-2.642562166,-2.065442598,-2.368843613,-1.01857915,-0.935325501,-0.845142247,-0.628863708,0.095355782,0.267275001
Dynastes_hercules,1.42078062,-1.494709957,-1.297680723,-1.358943907,-0.044034471,0.517231589,0.463057108,0.640990958,1.257701212,1.472763488
Cyclocephala_borealis,-0.967784297,-3.784162594,-3.72156537,-3.511883995,-1.943393615,-1.812687452,-1.971016469,-1.823196747,-1.26677986,-0.969544713
