species,mass,a6,a5,a4,a3,a2,a1,meta,meso,all,
Goliathus_goliathus,1.235907027,-0.688927949,-0.666854907,-0.534024022,-0.630859698,-0.242831457,0.096008274,0.091348111,0.339500343,0.791328069,
Coelorrhina_hornimani,0.053078443,-0.673395239,-0.923922656,-0.937141659,-0.971862405,-1.074650839,-0.868551065,-1.027403528,-0.625743973,0.042856739,
Dicronorrhina_derbyana,0.32888904,-1.350506203,-1.435250193,-1.343817683,-1.223094791,-1.108715029,-1.070782543,-1.080465746,-0.483737037,-0.118811238,
Mecynorrhina_torquata,0.807189891,-0.974149342,-1.178247697,-1.388195614,-0.929104203,-0.73559507,-0.371002649,-0.671226569,0.152122221,0.410470276,
Eudicella_euthalia,0.339153196,-1.094487926,-1.258881048,-1.329381757,-1.110702922,-0.745712029,-1.021908275,-1.110791067,-0.307558427,0.043196813,
Protaetia_orientalis,0.138302698,-1.412200196,-1.433513395,-1.409685536,-1.212389867,-1.240322477,-1.001407014,-1.18782005,-0.620731061,-0.195612545,
Popilia_japonica,-0.882066165,-2.228160357,-2.510655549,-2.562940985,-2.268335959,-2.499737994,-2.149139231,-2.032545325,-1.440809295,-1.137263254,
Trypoxylus_dichotomus,0.331427297,-1.560675927,-1.264628494,-1.411252669,-1.005264173,-0.903548069,-0.936314192,-0.709555699,-0.452718308,0.003419311,
Dynastes_hercules,1.42078062,-0.916091432,-0.869008487,-0.90244965,-0.381718932,-0.15195199,-0.123566537,-0.129874883,0.136844263,0.6400821,
Cyclocephalis_borealis,-0.967784297,-2.493829515,-2.492533938,-2.392799829,-1.600192043,-1.539614383,-1.576955047,-1.618238209,-1.34949619,-0.796587008,
,,,,,,,,,,,
Goliathus_goliathus,17.215,0.204678418,0.215350108,0.292399064,0.233959294,0.571700462,1.247407279,1.234093631,2.185246046,23.3998343,
Coelorrhina_hornimani,1.129999999,0.212131304,0.119145418,0.11557352,0.10669341,0.084207187,0.135347094,0.093885057,0.236731488,2.233714475,
Dicronorrhina_derbyana,2.132500001,0.044616325,0.036707077,0.045308775,0.0598281,0.077854724,0.084960578,0.083087225,0.328294013,2.893156818,
Mecynorrhina_torquata,6.414900005,0.106133053,0.066336462,0.040907636,0.117732346,0.18382515,0.425595817,0.213193241,1.419456935,8.988080645,
Eudicella_euthalia,2.183499999,0.080447411,0.055095858,0.046840146,0.077499175,0.179592407,0.095080559,0.077483447,0.492540076,3.288079078,
Protaetia_orientalis,1.374999999,0.038707917,0.036854167,0.038932695,0.061321128,0.057501281,0.099676547,0.064890325,0.239479829,2.012363889,
Popilia_japonica,0.1312,0.005913432,0.003085634,0.00273564,0.005390934,0.003164186,0.007093503,0.009278007,0.03624021,0.204101547,
Trypoxylus_dichotomus,2.145000002,0.027499454,0.054371524,0.038792461,0.098795196,0.124868223,0.115793934,0.195184039,0.3525995,3.152904333,
Dynastes_hercules,26.35000003,0.121313342,0.135204614,0.12518444,0.415222681,0.704770975,0.752373452,0.741523838,1.370390259,30.71598363,
Cyclocephalis_borealis,0.1077,0.003207528,0.003217111,0.004047624,0.025107759,0.028865934,0.026487743,0.02408584,0.044720208,0.267439747,
,,,,,,,,,,,
Goliathus_goliathus,17.215,2.059418259,1.508765398,1.696996023,1.174259836,1.082145738,1.281942578,0.584195439,0.989429545,,
Coelorrhina_hornimani,1.129999999,0.553833,0.506751,0.481558,0.325444,0.451409,0.416717,0.479906,0.307272,,
Dicronorrhina_derbyana,2.132500001,0.4848445,0.526252,0.530115,0.453889,0.462409,0.5101785,0.619067,0.2885355,,
Mecynorrhina_torquata,6.414900005,0.643077473,1.006761549,0.476071645,0.575329826,0.604083188,0.985360644,1.006367667,0.606709066,,
Eudicella_euthalia,2.183499999,0.616695986,0.529824999,0.530976056,0.506803849,0.469496044,0.524408257,0.590560209,0.333535839,,
Protaetia_orientalis,1.374999999,0.37893264,0.317053986,0.301182162,0.204720003,0.23945495,0.204920295,0.306577562,0.288864958,,
Popilia_japonica,0.1312,0.16469976,0.1432331,0.14768937,0.20688624,0.22637472,0.22479764,0.17496865,0.15401897,,
Trypoxylus_dichotomus,2.145000002,0.8456429,1.09003286,0.9311291,0.7635091,0.63712362,0.55029646,0.58599952,0.38686696,,
Dynastes_hercules,26.35000003,1.874889891,1.720597752,1.872601153,0.853420506,0.842663641,0.917219322,1.078896444,0.551963465,,
Cyclocephalis_borealis,0.1077,0.280487315,0.25051247,0.25056017,0.22569702,0.19830114,0.203491235,0.189842305,0.08964025,,
,,,,,,,,,,,
Goliathus_goliathus,17.215,3.09794E-14,4.92509E-14,1.09609E-13,8.11442E-14,1.28476E-12,1.12657E-11,2.39379E-11,7.84724E-11,2.30463E-10,
Coelorrhina_hornimani,1.129999999,1.28244E-13,2.48335E-14,2.38521E-14,2.77675E-14,9.84188E-15,4.42697E-14,1.28302E-14,3.21252E-13,1.18578E-12,
Dicronorrhina_derbyana,2.132500001,1.36295E-15,6.99289E-16,1.3055E-15,3.51048E-15,7.59328E-15,8.94398E-15,6.89391E-15,9.12411E-13,1.88544E-12,
Mecynorrhina_torquata,6.414900005,1.38321E-14,2.1574E-15,1.0699E-15,2.11043E-14,7.65101E-14,5.821E-13,7.16414E-14,3.50741E-11,7.16851E-11,
Eudicella_euthalia,2.183499999,6.28154E-15,2.34869E-15,1.44006E-15,6.83364E-15,9.17979E-14,1.21957E-14,5.86089E-15,2.66553E-12,5.58457E-12,
Protaetia_orientalis,1.374999999,1.13878E-15,1.1747E-15,1.45786E-15,8.38052E-15,5.90758E-15,3.59579E-14,6.63132E-15,3.53763E-13,8.28824E-13,
Popilia_japonica,0.1312,9.34172E-18,1.52613E-18,1.0314E-18,5.63458E-18,1.04126E-18,1.18138E-17,3.39629E-17,2.29932E-15,4.72734E-15,
Trypoxylus_dichotomus,2.145000002,1.82973E-16,1.09717E-15,4.6648E-16,9.3971E-15,2.2737E-14,2.09924E-14,9.4414E-14,8.4311E-13,1.98479E-12,
Dynastes_hercules,26.35000003,7.08518E-15,1.0688E-14,7.79483E-15,6.24138E-13,3.09094E-12,3.45484E-12,2.81188E-12,3.46915E-11,8.93977E-11,
Cyclocephalis_borealis,0.1077,8.75385E-19,9.88939E-19,1.9692E-18,5.21794E-16,9.02469E-16,6.79501E-16,5.47637E-16,7.42351E-15,2.01575E-14,
,,,,,,,,,,,
Goliathus_goliathus,1.235907027,-13.50892767,-13.30758571,-12.96015216,-13.09074257,-11.89117939,-10.94824302,-10.6209131,-10.10528311,-9.637397859,2.30463E-10
Coelorrhina_hornimani,0.053078443,-12.89196382,-13.60496185,-13.62247285,-13.55646275,-14.006922,-13.35389368,-13.89176603,-12.49315417,-11.92599539,1.18578E-12
Dicronorrhina_derbyana,0.32888904,-14.86552035,-15.15534361,-14.88422241,-14.4546333,-14.11957063,-14.04846905,-14.16153416,-12.03980963,-11.72458724,1.88544E-12
Mecynorrhina_torquata,0.807189891,-13.85911059,-14.66606898,-14.97065843,-13.67562877,-13.11628123,-12.23500243,-13.14483565,-10.45501309,-10.14457116,7.16851E-11
Eudicella_euthalia,0.339153196,-14.20193417,-14.62917486,-14.84161948,-14.16534794,-13.03716729,-13.91379362,-14.23203665,-11.57421706,-11.25301034,5.58457E-12
Protaetia_orientalis,0.138302698,-14.94356187,-14.93007267,-14.83628512,-14.07672915,-14.22859052,-13.44420528,-14.17839979,-12.45128731,-12.08153777,8.28824E-13
Popilia_japonica,-0.882066165,-17.02957331,-17.81640931,-17.98657146,-17.24913875,-17.98244118,-16.92760871,-16.46899548,-14.63840137,-14.32538359,4.72734E-15
Trypoxylus_dichotomus,0.331427297,-15.73761406,-14.95972434,-15.33116718,-14.02700601,-13.64326718,-13.67793856,-13.02496363,-12.07411583,-11.70228459,1.98479E-12
Dynastes_hercules,1.42078062,-14.14964933,-13.97110408,-14.10819351,-12.20471914,-11.50990949,-11.46157207,-11.55100368,-10.45977681,-10.04867345,8.93977E-11
Cyclocephalis_borealis,-0.967784297,-18.05780104,-18.00483043,-17.70571079,-15.28250122,-15.04456763,-15.16781012,-15.26150689,-14.1293909,-13.69556372,2.01575E-14
