species,mass,a6,a5,a4,a3,a2,a1,meta,meso,all
Goliathus_goliathus,1.235907027,-1.014958358,-0.851283766,-0.77724471,-0.708148246,-0.276926458,-0.00045541,0.023759953,0.36201968,-0.163869806
Coelorrhina_hornimani,0.053078443,-0.416774068,-0.628717271,-0.619790261,-0.484338674,-0.729221052,-0.488392283,-0.708559708,-0.11326696,-0.477657235
Dicronorrhina_derbyana,0.32888904,-1.037038336,-1.160142628,-1.068165371,-0.881882747,-0.755372179,-0.761397351,-0.8705401,0.050376168,-0.605483083
Mecynorrhina_torquata,0.837272703,-0.782412639,-1.181174317,-1.065867929,-0.689021092,-0.516691819,-0.364597861,-0.673983244,0.369141737,-0.322260728
Eudicella_euthalia,0.339153196,-0.898059391,-0.992386167,-1.053572583,-0.832394762,-0.4199479,-0.658721275,-0.879317639,0.169085462,-0.476350485
Protaetia_orientalis,0.138302698,-0.990136746,-0.936997364,-0.896641426,-0.534197583,-0.618929672,-0.307033479,-0.676891462,-0.08152191,-0.521080753
Popilia_japonica,-0.882066165,-1.449399705,-1.674921155,-1.73984221,-1.583766476,-1.827551267,-1.503924695,-1.276014647,-0.624939945,-1.262314434
Trypoxylus_dichotomus,0.806179974,-1.487862933,-1.302068085,-1.380262568,-0.888078391,-0.707771775,-0.676910911,-0.477452959,-0.040279948,-0.623339111
Dynastes_hercules,1.42078062,-1.187007014,-1.102190079,-1.165660504,-0.315254416,-0.0932937,-0.088511499,-0.1749605,0.529363838,-0.098922045
Cyclocephala_borealis,-0.967784297,-1.941892865,-1.890058503,-1.791072358,-0.928098159,-0.841986066,-0.882896599,-0.909464521,-0.603029245,-0.99678133
