species,mass,a6,a5,a4,a3,a2,a1,meta,meso,all
Goliathus_goliathus,1.235907027,-1.685012313,-1.45901915,-1.224772159,-1.240376577,-0.48571188,0.098854574,0.115108064,0.711436561,0.010936107
Coelorrhina_hornimani,0.053078443,-1.090169307,-1.552639927,-1.556931921,-1.456201078,-1.803871891,-1.356943348,-1.735963236,-0.739010933,-1.267203961
Dicronorrhina_derbyana,0.32888904,-2.383086407,-2.582261238,-2.412004462,-2.074866068,-1.82269775,-1.772263244,-1.81362422,-0.425803072,-1.25817557
Mecynorrhina_torquata,0.837272703,-1.756561981,-2.359422014,-2.454063543,-1.618125295,-1.252286889,-0.73560051,-1.345209813,0.521263959,-0.340157206
Eudicella_euthalia,0.339153196,-1.899888938,-2.143494946,-2.24466039,-1.866318115,-1.158861814,-1.625867658,-1.978040841,-0.07268877,-0.9081086
Protaetia_orientalis,0.138302698,-2.400120015,-2.361998677,-2.232851114,-1.685170206,-1.859407298,-1.309990698,-1.850547566,-0.702055934,-1.411288872
Popilia_japonica,-0.882066165,-3.659901303,-4.043296487,-4.232369114,-3.852345663,-4.261327481,-3.62965924,-3.306260169,-2.001678455,-2.851812835
Trypoxylus_dichotomus,0.806179974,-3.04853886,-2.566696579,-2.791515237,-1.893342564,-1.611319844,-1.613225104,-1.187008658,-0.492998256,-1.246777736
Dynastes_hercules,1.42078062,-2.10472012,-1.97279545,-2.070752757,-0.685315257,-0.178265881,-0.207557243,-0.188215114,0.665007816,-0.071283854
Cyclocephala_borealis,-0.967784297,-4.435037217,-4.380070939,-4.171308671,-2.455120079,-2.314518608,-2.422010046,-2.46073325,-1.952525435,-2.47333063
